MHs   MDM   MZp   BR(Hs->hh)    Xsec
500   800   5000  2.620201e-01  4.572339720000217e-06
500   900   1750  2.613120e-01  3.4260981000224557e-06
500   900   2000  2.614482e-01  4.346387071849855e-05
500   900   2500  2.616388e-01  6.266733280008388e-05
500   900   3000  2.617659e-01  4.816051440002667e-05
500   900   3500  2.618567e-01  3.117513749000728e-05
500   900   4000  2.619248e-01  1.7185028450001956e-05
500   900   4500  2.619778e-01  8.618029036000527e-06
500   900   5000  2.620201e-01  4.004014277000168e-06
500   1000  2000  2.614482e-01  3.8098542000143102e-06
500   1000  2500  2.616388e-01  3.967149060005775e-05
500   1000  3000  2.617659e-01  3.3553441740021836e-05
500   1000  3500  2.618567e-01  2.3329062390006393e-05
